"book_id","title","author_first_name","author_last_name","publisher","is_series","series_title","series_number","publication_year","price","genre_1","genre_2","genre_3","subject_1","subject_2","fiction_status","purchase_url","status","notes"
26,Fisherman's gift,Julia R.,Kelly,Simon and Schuster,false,,,2025,28.00,Historical,Romance,,Scotland,Missing Children,Fiction,https://www.simonandschuster.com/books/The-Fishermans-Gift/Julia-R-Kelly/9781668068694,Want,
1,Inheritance,Nora,Roberts,St. Martin's ,true,Lost Bride Trilogy,1,2023,30.00,Romance,Thriller,,Paranormal,Man-Woman Relationships,Fiction,https://us.macmillan.com/books/9781250902450/inheritance/,Want,
27,The Gilded Heiress,Joanna,Shupe,Avon,false,,,2025,19.00,Romance,Historical,Mystery,Kidnapping,"19th century",Fiction,https://www.harpercollins.com/products/the-gilded-heiress-joanna-shupe?variant=41628930736162,Want,
28,Gothictown,Emily,Carpenter,Kensington,false,,,2025,28.00,Gothic,Thriller,,Small towns,Georgia,Fiction,https://www.penguinrandomhouse.com/books/770857/gothictown-by-emily-carpenter/,Want,Creepy founding familys decide it's a great idea to harass some lady after COVID
3,The Seven Rings,Nora,Roberts,St. Martin's,true,Lost Brides Trilogy,3,2025,30,Romance,Thriller,,Paranormal,Man-Woman Relationships,Fiction,https://us.macmillan.com/books/9781250288790/thesevenrings/,Want,
2,The Mirror,Nora,Roberts,St. Martin's,true,Lost Brides Trilogy,2,2024,30.00,Romance,Thriller,"",Paranormal,Man-Woman Relationships,Fiction,https://us.macmillan.com/books/9781250901477/themirror/,Want,
4,The Serviceberry,Robin,Wall Kimmerer,Simon and Schuster,false,,,2024,20.00,Social Sciences,Philosophy,Essays,Nature,Indegenous Peoples,Non-Fiction,https://www.simonandschuster.com/books/The-Serviceberry/Robin-Wall-Kimmerer/9781668072240,Want,
5,Dream State,Eric,Puchner,Doubleday,false,,,2025,28,Literary,,,Families,Montana,Fiction,https://www.penguinrandomhouse.com/books/744560/dream-state-oprahs-book-club-by-eric-puchner/,Want,
6,Three days in June,Anne,Tyler,Knopf,false,,,2025,27.00,Literary,Domestic,,Mothers and Daughters,Weddings,Fiction,https://www.penguinrandomhouse.com/books/768610/three-days-in-june-by-anne-tyler/,Want,
7,Everything is Tuberculosis,John,Green,Crash Course Books,false,,,2025,28,Informational Works,History,,Medicine,Diseases,Non-Fiction,https://www.penguinrandomhouse.com/books/312472/everything-is-tuberculosis-by-john-green/,Want,
8,Dream Count,Chimamanda Ngozi,Adichi,Knopf,false,,,2025,32.00,Literary,Romance,World,Nigeria,Women,Fiction,https://www.penguinrandomhouse.com/books/753002/dream-count-by-chimamanda-ngozi-adichie/,Want,
9,How to love better,Yung,Pueblo,Harmony,false,,,2025,27.00,Self-help,,,Relationships,,Non-Fiction,https://www.penguinrandomhouse.com/books/736336/how-to-love-better-by-yung-pueblo/,Want,
10,Life cycle of the common octopus,Emma,Knight,Penguin Random House,false,,,2026,19.00,Women,Literary,,Motherhood,Family secrets,Fiction,https://www.penguinrandomhouse.com/books/743268/the-life-cycle-of-the-common-octopus-a-read-with-jenna-pick-by-emma-knight/,"",
11,Goddess Complex,Sanjena,Sathian,Penguin Books,false,,,2025,29.00,Literary,,,India,Divorces,Fiction,https://www.penguinrandomhouse.com/books/696780/goddess-complex-by-sanjena-sathian/,Want,
12,Junie,Erin,Crosby Eckstine,Ballantine,false,,,2025,30.00,Historical,Literary,Gothic,Slavery,Liberation,Fiction,https://www.penguinrandomhouse.com/books/738885/junie-a-gma-book-club-pick-by-erin-crosby-eckstine/,"",
13,Medicine River,Mary Annette,Pember,Pantheon,false,,,2025,29.00,Biography,History,,Indegenous People,Boarding Schools,Non-Fiction,https://www.penguinrandomhouse.com/books/721761/medicine-river-by-mary-annette-pember/,Want,
14,One Good Thing,Georgia,Hunter,Penguin Random House,false,,,2025,19.00,Historical,,,World War II,Friendship,Fiction,https://www.penguinrandomhouse.com/books/625718/one-good-thing-by-georgia-hunter/,Want,
15,Animal Instinct,Amy,Shearn,GP Putnam,false,,,2025,29.00,Literary,,,Self-realization,AI,Fiction,https://www.penguinrandomhouse.com/books/746997/animal-instinct-by-amy-shearn/,Want,
16,Aunt Tigress,Emily,Yu-Xuan Qin,DAW,false,,,2025,29.00,Fantasy,Romance,Urban,Monsters,LGBTQ,Fiction,https://www.penguinrandomhouse.com/books/773393/aunt-tigress-by-emily-yu-xuan-qin/,Want,
17,Beach Vibes,Susan,Mallery,Hatchette,false,,,2025,30.00,Women,Romance,,Beaches,Man-woman relationships,Fiction,https://www.barnesandnoble.com/w/beach-vibes-susan-mallery/1145530536,Want,
18,"Bent, but not broken",Mary,Monroe,Kensington,true,"Lexington, Alabama",5,2025,18.95,Historical,Domestic,,African-Americans,Mothers and Daughters,Fiction,https://www.kensingtonbooks.com/shop/bent-but-not-broken/?v=0b3b97fa6688,Want,
19,The Big Fix,Holly,James,Kensington,false,,,2025,28.00,Mystery,Humor,Romance,Amateur Sleuth,Mistaken identity,Fiction,https://www.kensingtonbooks.com/shop/the-big-fix/?v=0b3b97fa6688,Want,
20,Buffalo Hunter Hunter,Stephen Graham,Jones,Simon and Schuster,false,,,2025,30.00,Horror,Historical,,Indegenous People,Vampires,Fiction,https://www.simonandschuster.com/books/The-Buffalo-Hunter-Hunter/Stephen-Graham-Jones/9781668075081,Want,
