"imprint_id","imprint_name","publisher_id","parent_imprint_id"
1,Crash Course Books,1,
2,Waterbrook,1,
3,Penguin Books,1,
4,GP Putnam,1,
5,DAW,1,
6,Berkley,1,
7,Riverhead,1,
8,Ballantine,1,
9,Pantheon,1,
10,Harmony,1,
11,Doubleday,1,
12,Knopf,1,
13,Penguin Random House,1,
14,Summit,2,
15,Atria,2,
17,Mira,3,
18,Harlequin,3,
19,Amistad,3,
20,Harper Perennial,3,
21,Avon,3,
22,HarperCollins,3,
23,Flatiron,4,
24,Minotaur,4,
25,Tor,4,
26,St. Martin's,4,
27,Bookouture,5,
28,Forever,5,
29,Bloomsbury,6,
30,Counterpoint,7,
31,Angry Robot,8,
32,Rising Action,9,
33,Permuted Press,10,
34,Independently Published,11,
35,Tordotcom,4,25
36,Forge,4,25
37,Tor Teen,4,25
38,Tor Nightfire,4,25
39,Kensington,12,
40,River Grove Books,13,
41,Hachette,5,
16,Simon and Schuster,2,
42,Bantam,1,
43,Hogarth,1,
